trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.003, 'e': 0.8842636625608209}",25,0,-38.38351504319305,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
43,False,"{'a': 0.003, 'e': 0.8816148467834161}",20,8,-27.317974114307038,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
44,False,"{'a': 0.003, 'e': 0.8789739655455832}",25,0,-124.34502895744033,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
45,False,"{'a': 0.003, 'e': 0.8763409950793732}",20,0,-88.87606224906091,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
46,False,"{'a': 0.003, 'e': 0.8737159116880344}",20,4,-83.82750721358845,"{0: 7, 1: 3, 2: 4, 3: 2, 4: 0}",1
47,False,"{'a': 0.003, 'e': 0.8710986917457983}",25,5,-41.20616504764687,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
48,False,"{'a': 0.003, 'e': 0.8684893116976679}",25,0,-263.5056466985623,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 5}",0
49,False,"{'a': 0.003, 'e': 0.865887748059205}",20,0,-119.78349034572878,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
50,False,"{'a': 0.003, 'e': 0.8632939774163194}",25,0,-76.96721892702651,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
51,False,"{'a': 0.003, 'e': 0.8607079764250578}",20,0,-93.0418934304599,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
52,False,"{'a': 0.003, 'e': 0.8581297218113938}",20,0,-121.06216444636729,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.003, 'e': 0.8555591903710185}",25,0,-193.75516641868987,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
54,False,"{'a': 0.003, 'e': 0.8529963589691315}",25,5,-74.59691408001677,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",1
55,False,"{'a': 0.003, 'e': 0.850441204540233}",20,0,-135.7232249417188,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
56,False,"{'a': 0.003, 'e': 0.8478937040879159}",20,0,-102.63135144623892,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
57,False,"{'a': 0.003, 'e': 0.8453538346846587}",25,0,-47.44688180896576,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.003, 'e': 0.8428215734716199}",25,1,-175.03869639458307,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 3}",1
59,False,"{'a': 0.003, 'e': 0.8402968976584314}",25,0,-63.84995127727766,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
60,False,"{'a': 0.003, 'e': 0.8377797845229938}",30,0,-78.3150626923582,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.003, 'e': 0.835270211411272}",20,0,-58.22298345148291,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
62,False,"{'a': 0.003, 'e': 0.832768155737091}",20,0,-126.3402039560627,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
63,False,"{'a': 0.003, 'e': 0.8302735949819326}",30,0,-78.33905304461946,"{0: 19, 1: 7, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.003, 'e': 0.8277865066947336}",30,0,-145.5583194013418,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
65,False,"{'a': 0.003, 'e': 0.8253068684916823}",25,0,-87.74382262154715,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
